t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6
9.6076,-1.5733442116139755,-7.167486709060868,-2.232028426367373,0.9577821477248545,0.07089054736078385,0.11746604549019404,-0.25264544761441315,7.871631084557246,1.3338077880178585,-1.3288859094496521,-1.3454664562873369,3.3276710822173015,-0.14970114165481088,-8.956490181167613,2.558690076882659,-5.0956716657840655,0.4986989201690298,0.19982123233770552,8.804936884038452e-06,4.178989482220164,4.178993804882974,4.178998244676081,4.178998282933649,0.000760133939492408,2.14008473116997e-05,0.04498978929170094,0.0019944543538820687,3.6791435159615746e-05,0.04570436822721493,0.002798043198094895,5.5055821022148664e-05,0.04610874376949123,0.005875407804325558,0.0001183406980929203,0.05072215692804742,0.008804868149377497,0.0002792628833742652,0.07789757474390817,0.9753064157637774,0.0012407732070782238,0.08920981718974945,0.9788878083360847,0.00021577174560977576,0.05458066181194804
9.64849,-1.258715465246962,-7.110843564480284,-2.290730770997377,0.9483670380967875,0.061411696341598494,0.18942921674464827,-0.24687089848622518,7.505459175667349,1.4384157773929576,-1.5372143710673107,-1.3250779411585436,3.3358404566711113,-0.1497007816789184,-10.990703376316844,2.719523166419831,-4.116166798243748,0.4997304671643561,0.1965449677349389,1.4290991889271402e-05,4.178979034392621,4.178995658050046,4.1789974499480085,4.178998732708026,0.0007388277737896996,2.1306165702708423e-05,0.044989306626090256,0.0019566234602835337,3.783089359853543e-05,0.04574443165576556,0.002743709175206437,5.433402288845842e-05,0.04608031372294168,0.005748261365952781,0.0001271464383727758,0.05156900395733401,0.008553426811298021,0.0002514413380794743,0.0756732766335595,0.9737304893082631,0.001575926455514395,0.08950847649289354,0.978682325562775,0.0002054827733096598,0.05375948570875623
9.68937,-0.9607811956780677,-7.04978228020298,-2.357175100667642,0.9337827866628408,0.052037967768984436,0.2604252937963256,-0.23983437094933935,7.056121683642775,1.5495991727828275,-1.7054973282675876,-1.3046472528654027,3.343875886238101,-0.14970019741436005,-12.830097265825987,2.828458489801583,-2.8391908434548463,0.500282765381009,0.1927868653025211,3.914776701822025e-05,4.178939202821008,4.178996775843505,4.178995843929891,4.178999003557205,0.0007176251835328443,2.1202590256855303e-05,0.044988826587073885,0.0019177575505461334,3.886590973740025e-05,0.04578541555840888,0.0026900533683065007,5.365580689993585e-05,0.04605394965532886,0.005611782211611369,0.00013647915434141213,0.052515803007654405,0.008324801791189313,0.00022862502010870828,0.07344464715697356,0.971685749590481,0.0020447397177820043,0.08970735965681499,0.9784861986381543,0.00019612692462076084,0.05303249326331589
9.73025,-0.6827846871077256,-6.984076969526016,-2.4294714853826185,0.9141009325604842,0.042812568223238694,0.3300691966007744,-0.23160525526749434,6.531583487090195,1.6652362162537402,-1.8215731470114704,-1.284193984734828,3.3517576717421096,-0.1496985969199378,-14.43243684050633,2.882254191541583,-1.296023351328012,0.4658114611710082,0.15423041427051304,0.0014870509817829574,4.176757471292176,4.178997503199365,4.178991965607779,4.1789991757736615,0.0006965343873558439,2.109079617700044e-05,0.0449883503392346,0.0018778701042782785,3.988744626785483e-05,0.04582693244646865,0.002637012715125522,5.3040653180978835e-05,0.04603034018061262,0.005465580529548617,0.00014620168206275195,0.053549895586408734,0.008114916046421422,0.00020988574476789171,0.07129562103338603,0.9689701092134252,0.002715640377055881,0.0898338533422302,0.9782983936473951,0.00018780499075919324,0.05240382717693666
9.77114,-0.4276076786914287,-6.913591275231029,-2.505258018508655,0.8894274125465624,0.03375904884630847,0.39797307864050757,-0.22225375284633175,5.941536176042718,1.7830726117473488,-1.8745590080934722,-1.265150021254756,3.3580631378409906,-0.14963780119688092,-15.408864940551558,2.722580418217124,0.7454663371742858,-7.385428058974213,-7.642310844024435,0.32073188726001084,3.69667614188407,4.178998011807916,4.178978455230709,4.178999288325954,0.0006755628586457373,2.0971528710106457e-05,0.04498787791875483,0.00183698299233813,4.088711194014841e-05,0.04586858493263794,0.0025845063418615645,5.2506373263957376e-05,0.0460100834105475,0.00530945930425777,0.00015612122529084667,0.05464757544701735,0.00792041823959263,0.00019449780682879192,0.06929674998822237,0.96526945143344,0.003700657779985281,0.08991045433782828,0.9781178220828549,0.00018057156454022398,0.05187254833023281
9.81202,-0.19741635069823496,-6.838395452106245,-2.58151518300949,0.8614690518448944,0.021363516721879354,0.4616416108399122,-0.21047987984622216,5.311569149341549,1.894380998032528,-1.8440817981401552,-1.5670915447334368,3.0456193687437554,-0.13652518620771928,-16.540899759694682,2.460293783399635,2.4100718287267515,-4.600789008705108,-4.775635402860311,0.20408336882175707,3.8719776483986683,4.1789983847406456,4.178868948953833,4.178999368127973,0.0006547173538747611,2.0845504770976205e-05,0.04498740857585518,0.00179512500646133,4.185798587680024e-05,0.045910006307474334,0.0025324390835965694,5.206725826499529e-05,0.045993629413156836,0.00514345928818835,0.00016600001606941936,0.05577508448575639,0.007738538545600048,0.00018187969399258285,0.06749669734525249,0.9600788887195368,0.005190562713903088,0.08995446419060793,0.9779433868035763,0.00017443527927863054,0.05143373015675315
9.8529,0.006033653747299228,-6.758831257126898,-2.6551430416950765,0.831776458518841,0.003540635650175449,0.519607380453872,-0.19530395524700786,4.635320672845788,1.994966210864185,-1.7455498303452,-1.7551875130916117,2.8503750826165346,-0.1281815610574038,-16.440094364902386,1.7957878623176435,4.493857343567084,7.1112141068429136,-19.005696400443167,-0.2773267071160692,3.796593907161952,4.178998670201844,3.379560509697077,4.178999425386915,0.0006340040193241348,2.071333455062621e-05,0.04498694127164395,0.0017523317599307505,4.2793246530579474e-05,0.04595080923683714,0.0024807044430311216,5.1734640565448046e-05,0.04598131683523448,0.004967905086222125,0.00017555420196622515,0.056889711087531256,0.007566959501494944,0.00017157904410510368,0.06592352808193795,0.9525557352732172,0.007523153446319603,0.08997832281962505,0.9777740041952581,0.00016938260831818856,0.0510810390691303
9.89379,0.18186236757932886,-6.675699288624316,-2.72295963106466,0.8037279036882997,-0.015403503865152728,0.5669314035121411,-0.1799250784429198,3.9631934651831138,2.0683841520671793,-1.5618255936757055,-1.4644567925351835,2.073357301101492,-0.139519624034837,-16.33278039202533,1.2618449271576533,5.84823538378558,15.56641063761084,-24.956579506043607,-0.6268483683684871,3.8777299983224727,4.178998885016965,2.9351002839535996,4.178999474019691,0.0006134285936914559,2.0575425632678983e-05,0.0449864756454668,0.0017086451902559377,4.368656967481265e-05,0.04599060649096375,0.002429190266709977,5.151417632114432e-05,0.045973283480732305,0.004783414948792382,0.0001844901374297436,0.057946301967133136,0.007403733323949346,0.00016322617754559857,0.06458497836393051,0.9412231166876344,0.011332618585582861,0.08999045108323356,0.9776086361834952,0.0001653680117628565,0.05080659291907849
9.93467,0.3302460218495552,-6.5900259728386095,-2.782052422564233,0.7840653318589459,-0.030234209443280462,0.5963243663827247,-0.16948375377387728,3.2954536192552375,2.119972682435011,-1.3227297569358907,-0.8280487596516054,1.0530470933925222,-0.1651473262917587,-17.36537699394954,1.1092942012404894,6.198756642083319,5.789034717836892,-5.522596669012843,-0.2301854078455202,4.1785859761490185,4.178999047946613,3.832442035906127,4.1789995177451145,0.00059299652594502,2.043206774643584e-05,0.04498601165813317,0.0016641117402964283,4.453344995950956e-05,0.04602907657959568,0.002377783865261089,5.1406401448888084e-05,0.04596949798738095,0.004590869350505453,0.00019254559828692927,0.05890476267750267,0.0072472250657956505,0.00015650825815369555,0.06347240472547123,0.9233083548394131,0.01791476184822127,0.08999618456844684,0.9774463140749667,0.0001623221085285899,0.05060188554350408
9.97555,0.4504363406779392,-6.50238754075984,-2.8310269528324206,0.7713468255964723,-0.0404162388385647,0.6135678386897313,-0.1640888583704381,2.585497697477154,2.165324418100708,-1.0693034139753188,-0.5913732483316257,0.8272644795095253,-0.1745580919471067,-16.804515531393566,0.8508921083121613,6.706509365677236,11.183064179583052,-11.011789775892213,-0.4527667947786481,4.178854744819233,4.178999174298249,3.4980020394775693,4.178999556664502,0.0005727128810301784,2.0283644914841574e-05,0.044985547591989264,0.0016187843547312932,4.532738556513497e-05,0.046065795558319834,0.002326366210540558,5.141765472053105e-05,0.045970173609699704,0.00439144940574276,0.00019941994476269293,0.05972347873869671,0.007096005529930332,0.00015121953586531847,0.06257721448366829,0.8931890246980456,0.030119330141367473,0.08999865659509976,0.9772860816892095,0.00016023238575728945,0.05046323310952555
10.0164,0.5420554106081014,-6.413133126386781,-2.8691764374280657,0.7627924044373132,-0.046423417513056696,0.6240586540199121,-0.16292161315913337,1.8984717078725826,2.2001117936527006,-0.7951184054792938,-0.13417138967427358,0.37706490345114513,-0.19306874491188722,-16.77646089191126,0.8512786867985002,6.755890425836317,5.822412535030534,-5.770196100215042,-0.23598327655939122,4.1789476456259855,4.178999268769266,3.8240852536436454,4.178999590737483,0.0005525823555771454,2.0130525453032904e-05,0.044985080747265004,0.0015727211844125308,4.606317031876254e-05,0.046100388236238604,0.002274812073150491,5.1554137390067125e-05,0.045975548195251334,0.004186599317455656,0.00020485008828710323,0.06036880841644369,0.006948812052925993,0.0001471934770043393,0.06188622310590371,0.8383206662071758,0.0548683584908698,0.08999960216774318,0.9771269885132495,0.00015909317595989332,0.05038827316860758
